session_start,session_type,session_dow,leg,strike,option_type,position,entry_price,expiry,contracts,spot_at_expiry,exit_price,pnl
2024-02-28 08:00:00+00:00,weekday,wednesday,otm_put,51000.0,P,long,0.0001,2024-02-29 08:00:00+00:00,1,62815.14,0.0,-6.2815140000000005
2024-03-01 08:00:00+00:00,weekday,friday,atm_call,62000.0,C,short,0.014,2024-03-02 08:00:00+00:00,1,62014.02,14.019999999996799,854.1762800000032
2024-03-01 08:00:00+00:00,weekday,friday,atm_put,62000.0,P,short,0.0125,2024-03-02 08:00:00+00:00,1,62014.02,0.0,775.17525
2024-03-01 08:00:00+00:00,weekday,friday,otm_call,70000.0,C,long,0.0003,2024-03-02 08:00:00+00:00,1,62014.02,0.0,-18.604205999999998
2024-03-01 08:00:00+00:00,weekday,friday,otm_put,55000.0,P,long,0.0003,2024-03-02 08:00:00+00:00,1,62014.02,0.0,-18.604205999999998
2024-03-02 08:00:00+00:00,weekend,saturday,atm_call,62000.0,C,short,0.006,2024-03-03 08:00:00+00:00,1,61635.41,0.0,369.81246000000004
2024-03-02 08:00:00+00:00,weekend,saturday,atm_put,62000.0,P,short,0.007,2024-03-03 08:00:00+00:00,1,61635.41,364.5899999999965,66.85787000000352
2024-03-02 08:00:00+00:00,weekend,saturday,otm_call,68000.0,C,long,0.0001,2024-03-03 08:00:00+00:00,1,61635.41,0.0,-6.163541
2024-03-02 08:00:00+00:00,weekend,saturday,otm_put,56000.0,P,long,0.0002,2024-03-03 08:00:00+00:00,1,61635.41,0.0,-12.327082
2024-03-03 08:00:00+00:00,weekend,sunday,atm_call,61750.0,C,short,0.007,2024-03-04 08:00:00+00:00,1,65283.17,3533.1699999999983,-3076.187809999998
2024-03-03 08:00:00+00:00,weekend,sunday,atm_put,61750.0,P,short,0.0085,2024-03-04 08:00:00+00:00,1,65283.17,0.0,554.9069450000001
2024-03-03 08:00:00+00:00,weekend,sunday,otm_call,67500.0,C,long,0.0002,2024-03-04 08:00:00+00:00,1,65283.17,0.0,-13.056634
2024-03-03 08:00:00+00:00,weekend,sunday,otm_put,55000.0,P,long,0.0001,2024-03-04 08:00:00+00:00,1,65283.17,0.0,-6.528317
2024-03-04 08:00:00+00:00,weekday,monday,atm_call,65500.0,C,short,0.019,2024-03-05 08:00:00+00:00,1,66900.38,1400.3800000000047,-129.27278000000456
2024-03-04 08:00:00+00:00,weekday,monday,atm_put,65500.0,P,short,0.0175,2024-03-05 08:00:00+00:00,1,66900.38,0.0,1170.7566500000003
2024-03-04 08:00:00+00:00,weekday,monday,otm_call,74000.0,C,long,0.0004,2024-03-05 08:00:00+00:00,1,66900.38,0.0,-26.760152
2024-03-04 08:00:00+00:00,weekday,monday,otm_put,55000.0,P,long,0.0001,2024-03-05 08:00:00+00:00,1,66900.38,0.0,-6.690038
2024-03-05 08:00:00+00:00,weekday,tuesday,atm_call,67000.0,C,short,0.017,2024-03-06 08:00:00+00:00,1,66940.04,0.0,1137.98068
2024-03-05 08:00:00+00:00,weekday,tuesday,atm_put,67000.0,P,short,0.0195,2024-03-06 08:00:00+00:00,1,66940.04,59.9600000000064,1245.3707799999934
2024-03-05 08:00:00+00:00,weekday,tuesday,otm_call,77000.0,C,long,0.0001,2024-03-06 08:00:00+00:00,1,66940.04,0.0,-6.694004
2024-03-05 08:00:00+00:00,weekday,tuesday,otm_put,58500.0,P,long,0.0002,2024-03-06 08:00:00+00:00,1,66940.04,0.0,-13.388008
2024-03-07 08:00:00+00:00,weekday,thursday,atm_call,66500.0,C,short,0.0185,2024-03-08 08:00:00+00:00,1,67345.36,845.3600000000006,400.52915999999937
2024-03-07 08:00:00+00:00,weekday,thursday,atm_put,66500.0,P,short,0.013,2024-03-08 08:00:00+00:00,1,67345.36,0.0,875.48968
2024-03-07 08:00:00+00:00,weekday,thursday,otm_call,76000.0,C,long,0.0005,2024-03-08 08:00:00+00:00,1,67345.36,0.0,-33.67268
2024-03-07 08:00:00+00:00,weekday,thursday,otm_put,58000.0,P,long,0.0002,2024-03-08 08:00:00+00:00,1,67345.36,0.0,-13.469072
2024-03-08 08:00:00+00:00,weekday,friday,atm_call,67500.0,C,short,0.0125,2024-03-09 08:00:00+00:00,1,68446.0,946.0,-90.42499999999995
2024-03-08 08:00:00+00:00,weekday,friday,atm_put,67000.0,P,short,0.01,2024-03-09 08:00:00+00:00,1,68446.0,0.0,684.46
2024-03-08 08:00:00+00:00,weekday,friday,otm_call,77000.0,C,long,0.0001,2024-03-09 08:00:00+00:00,1,68446.0,0.0,-6.844600000000001
2024-03-08 08:00:00+00:00,weekday,friday,otm_put,61000.0,P,long,0.0003,2024-03-09 08:00:00+00:00,1,68446.0,0.0,-20.5338
2024-03-09 08:00:00+00:00,weekend,saturday,atm_call,68500.0,C,short,0.008,2024-03-10 08:00:00+00:00,1,69761.32,1261.320000000007,-703.2294400000069
2024-03-09 08:00:00+00:00,weekend,saturday,atm_put,68500.0,P,short,0.007,2024-03-10 08:00:00+00:00,1,69761.32,0.0,488.3292400000001
